index;uKL30V;EPB_L;EPB_R;AIN2_MON_VAC_SUP;AIN3;AIN4;AIN5;
44;15.680001;3.089919;3.244642;0.067676;0.051562;0.041895;2.462109;
45;15.852001;2.175657;2.360926;0.077344;0.032227;0.032227;2.429883;
46;15.822001;2.923690;1.333073;2.458887;2.452441;2.449219;0.000000;
47;15.954001;1.327886;0.383196;0.064453;0.035449;0.064453;2.442773;
48;15.734001;3.367760;1.888350;0.038672;0.019336;0.022559;2.420215;
49;15.792001;2.045048;3.402955;0.061230;0.041895;0.029004;2.416992;
50;15.930001;0.795952;1.770206;2.429883;2.452441;2.433105;0.000000;
51;15.928001;1.273268;1.106237;0.041895;0.029004;0.032227;2.433105;
52;15.728001;3.560111;2.670463;0.061230;0.035449;0.035449;2.429883;
53;15.842001;1.434748;3.469116;0.077344;0.048340;0.038672;2.433105;
54;15.972001;0.622598;0.959739;2.449219;2.449219;2.462109;0.000000;
55;15.838001;2.092542;1.110963;0.041895;0.022559;0.029004;2.420215;
56;15.694001;3.149287;1.815101;0.074121;0.048340;0.045117;2.420215;
57;15.938001;0.404125;1.680417;0.061230;0.058008;0.048340;2.429883;
58;15.934001;1.358757;0.619484;2.442773;2.445996;2.445996;0.016113;
59;15.652001;3.398631;2.642108;0.061230;0.035449;0.022559;2.436328;
60;15.868001;0.874317;1.817464;0.090234;0.048340;0.045117;2.436328;
61;15.946001;1.197277;0.794337;0.051562;0.032227;0.035449;2.413769;
62;15.782001;2.643474;2.668100;2.439551;2.429883;2.445996;0.000000;
63;15.858001;1.610476;1.566998;0.067676;0.041895;0.045117;2.429883;
64;15.972001;0.862443;0.586404;0.054785;0.025781;0.025781;2.397656;
65;15.896001;3.099418;1.437040;0.067676;0.048340;0.035449;2.420215;
66;15.814001;1.411001;2.233330;2.449219;2.442773;2.442773;0.000000;
67;15.936001;1.524987;0.827417;0.048340;0.029004;0.032227;2.429883;
68;15.690001;4.201283;1.779658;0.045117;0.025781;0.032227;2.423437;
69;15.850001;0.715212;3.251731;0.083789;0.051562;0.048340;2.429883;
